Project Name (Repository Name),Group Name,Group Depth,Last Activity At (JST),Created At (JST),Project URL
gitlab-org,1,gitlab-org/ci-training-sample,2018-01-16 21:41:30,2016-10-27 17:04:02,https://gitlab.com/gitlab-org/ci-training-sample
gitlab-org,1,gitlab-org/gitlab-docs,2022-04-15 09:15:32,2016-10-06 14:40:51,https://gitlab.com/gitlab-org/gitlab-docs
gitlab-org,1,gitlab-org/gitlab-markup,2022-02-07 23:54:31,2016-10-04 08:53:34,https://gitlab.com/gitlab-org/gitlab-markup
gitlab-org,1,gitlab-org/test-elastic-image,2018-01-16 21:41:30,2016-08-17 23:27:34,https://gitlab.com/gitlab-org/test-elastic-image
gitlab-org,1,gitlab-org/gitlab-exporter,2022-04-06 02:18:27,2016-08-11 06:23:04,https://gitlab.com/gitlab-org/gitlab-exporter
gitlab-org,1,gitlab-org/gitlab_emoji,2020-03-22 01:12:29,2014-03-20 17:21:56,https://gitlab.com/gitlab-org/gitlab_emoji
gitlab-org,1,gitlab-org/gitlab-metrics-exporter,2022-04-14 09:20:10,2022-03-24 21:37:20,https://gitlab.com/gitlab-org/gitlab-metrics-exporter
gitlab-org,1,gitlab-org/end-user-admin,2020-08-14 20:13:42,2016-08-02 13:41:31,https://gitlab.com/gitlab-org/end-user-admin
gitlab-org,1,gitlab-org/gitlab-qa,2022-04-15 10:01:58,2016-07-25 19:35:44,https://gitlab.com/gitlab-org/gitlab-qa
gitlab-org,1,gitlab-org/end-user-training-slides,2018-01-16 21:41:29,2016-07-08 07:01:40,https://gitlab.com/gitlab-org/end-user-training-slides
gitlab-org,1,gitlab-org/influxdb-management,2018-10-02 11:13:45,2016-06-23 18:57:18,https://gitlab.com/gitlab-org/influxdb-management
gitlab-org,1,gitlab-org/labkit-python,2022-04-07 04:54:51,2022-03-30 22:59:14,https://gitlab.com/gitlab-org/labkit-python
gitlab-org,1,gitlab-org/cookbook-gitlab-runner,2019-10-31 23:23:50,2016-06-06 21:00:15,https://gitlab.com/gitlab-org/cookbook-gitlab-runner
gitlab-org,1,gitlab-org/gitlab-ci-yml,2021-08-31 23:07:18,2016-05-21 06:02:35,https://gitlab.com/gitlab-org/gitlab-ci-yml
gitlab-org,1,gitlab-org/gitlab-build-images,2022-04-15 04:16:01,2016-04-15 21:46:43,https://gitlab.com/gitlab-org/gitlab-build-images
gitlab-org,1,gitlab-org/gitlab-test,2022-02-14 18:51:04,2014-08-01 05:00:19,https://gitlab.com/gitlab-org/gitlab-test
gitlab-org,1,gitlab-org/rgsoc-2016,2021-12-30 20:07:01,2016-03-03 23:49:29,https://gitlab.com/gitlab-org/rgsoc-2016
gitlab-org,1,gitlab-org/grafana-dashboards,2022-04-15 09:07:04,2016-03-03 04:06:26,https://gitlab.com/gitlab-org/grafana-dashboards
gitlab-org,1,gitlab-org/gsoc2016,2018-03-06 02:54:05,2016-02-19 20:07:42,https://gitlab.com/gitlab-org/gsoc2016
gitlab-org,1,gitlab-org/marketing_monthly_release,2021-01-23 08:18:41,2016-02-16 23:02:05,https://gitlab.com/gitlab-org/marketing_monthly_release
gitlab-org,1,gitlab-org/gitlab-elasticsearch-git-test,2018-01-16 21:44:58,2016-02-01 22:33:12,https://gitlab.com/gitlab-org/gitlab-elasticsearch-git-test
gitlab-org,1,gitlab-org/inspector-influx,2018-01-22 20:38:17,2016-01-21 00:11:03,https://gitlab.com/gitlab-org/inspector-influx
gitlab-org,1,gitlab-org/gitlab-elasticsearch-git,2018-01-16 21:41:28,2016-01-14 02:03:47,https://gitlab.com/gitlab-org/gitlab-elasticsearch-git
gitlab-org,1,gitlab-org/gitlab-pages,2022-04-15 15:07:55,2016-01-08 01:38:31,https://gitlab.com/gitlab-org/gitlab-pages
gitlab-org,1,gitlab-org/training-examples,2022-01-20 01:14:40,2016-01-06 06:28:16,https://gitlab.com/gitlab-org/training-examples
gitlab-org,1,gitlab-org/allocations,2018-01-22 20:36:58,2015-12-18 00:16:22,https://gitlab.com/gitlab-org/allocations
gitlab-org,1,gitlab-org/gitlab-io-stress-test,2018-01-16 21:41:28,2015-11-27 19:13:02,https://gitlab.com/gitlab-org/gitlab-io-stress-test
gitlab-org,1,gitlab-org/University,2019-06-14 02:37:31,2015-11-13 22:38:23,https://gitlab.com/gitlab-org/University
gitlab-org,1,gitlab-org/gitlab-workhorse,2022-04-15 00:07:31,2015-10-26 22:48:15,https://gitlab.com/gitlab-org/gitlab-workhorse
gitlab-org,1,gitlab-org/ngalang-personal,2022-04-01 04:47:56,2022-04-01 04:47:56,https://gitlab.com/gitlab-org/ngalang-personal
gitlab-org,1,gitlab-org/status-gitlab-com,2021-05-12 17:51:34,2015-09-23 03:26:00,https://gitlab.com/gitlab-org/status-gitlab-com
gitlab-org,1,gitlab-org/gitlab-development-kit,2022-04-15 09:17:19,2014-08-07 16:26:32,https://gitlab.com/gitlab-org/gitlab-development-kit
gitlab-org,1,gitlab-org/gitlab-rouge,2018-01-16 21:44:58,2015-09-09 22:18:34,https://gitlab.com/gitlab-org/gitlab-rouge
gitlab-org,1,gitlab-org/gitlab-runner-docker-cleanup,2021-01-27 05:05:51,2015-09-04 01:47:07,https://gitlab.com/gitlab-org/gitlab-runner-docker-cleanup
gitlab-org,1,gitlab-org/gitlab-design,2022-04-15 07:29:13,2015-09-03 17:29:27,https://gitlab.com/gitlab-org/gitlab-design
gitlab-org,1,gitlab-org/release-tools,2022-04-15 09:15:53,2015-08-27 08:35:56,https://gitlab.com/gitlab-org/release-tools
gitlab-org,1,gitlab-org/golang-cli-helpers,2022-01-25 01:19:03,2015-08-18 21:37:43,https://gitlab.com/gitlab-org/golang-cli-helpers
gitlab-org,1,gitlab-org/gitlab-mattermost,2022-02-01 17:38:09,2015-08-04 22:45:28,https://gitlab.com/gitlab-org/gitlab-mattermost
gitlab-org,1,gitlab-org/gitlab-git-http-server,2017-02-04 03:25:28,2015-07-28 16:48:48,https://gitlab.com/gitlab-org/gitlab-git-http-server
gitlab-org,1,gitlab-org/omnibus,2022-04-12 22:38:55,2015-05-21 20:28:47,https://gitlab.com/gitlab-org/omnibus
gitlab-org,1,gitlab-org/gitlab,2022-04-15 15:26:43,2015-05-20 19:47:11,https://gitlab.com/gitlab-org/gitlab
gitlab-org,1,gitlab-org/gitlab-runner,2022-04-15 11:12:28,2015-04-28 06:10:25,https://gitlab.com/gitlab-org/gitlab-runner
gitlab-org,1,gitlab-org/gitlab-test-fork,2018-01-16 21:41:30,2015-04-27 22:12:25,https://gitlab.com/gitlab-org/gitlab-test-fork
gitlab-org,1,gitlab-org/test-gfm-reference,2020-01-14 22:57:21,2015-04-11 16:50:36,https://gitlab.com/gitlab-org/test-gfm-reference
gitlab-org,1,gitlab-org/discourse-omniauth-gitlab,2022-04-02 01:43:48,2015-01-24 06:48:27,https://gitlab.com/gitlab-org/discourse-omniauth-gitlab
gitlab-org,1,gitlab-org/gitlab-omnibus-builder,2022-04-15 14:24:12,2015-01-16 01:25:30,https://gitlab.com/gitlab-org/gitlab-omnibus-builder
gitlab-org,1,gitlab-org/omniauth-gitlab,2018-01-16 21:41:29,2015-01-13 05:33:20,https://gitlab.com/gitlab-org/omniauth-gitlab
gitlab-org,1,gitlab-org/omnibus-gitlab-runner,2017-02-04 03:25:27,2015-01-08 02:54:45,https://gitlab.com/gitlab-org/omnibus-gitlab-runner
gitlab-org,1,gitlab-org/git-memory-test,2019-12-30 04:25:43,2014-11-13 20:07:22,https://gitlab.com/gitlab-org/git-memory-test
gitlab-org,1,gitlab-org/html-pipeline-gitlab,2017-02-04 03:25:27,2014-10-07 00:32:38,https://gitlab.com/gitlab-org/html-pipeline-gitlab
